,enterprise_id,years,revenue,cost_of_goods_sold,gross_profit,gross_margin_%,"selling,_general,_&_admin._expense",research_&_development,other_operating_expense,total_operating_expense,operating_income,operating_margin_%,interest_income,interest_expense,net_interest_income,other_income_(expense),pretax_income,tax_provision,tax_rate_%,other_net_income_(loss),net_income_including_noncontrolling_interests,net_income_(continuing_operations),net_income_(discontinued_operations),other_income_(minority_interest),net_income,net_margin_%,preferred_dividends,eps_(basic),eps_(diluted),shares_outstanding_(diluted_average),ebit,"depreciation,_depletion_and_amortization",ebitda,ebitda_margin_%,net_interest_income_(for_banks),non_interest_income,credit_losses_provision,other_noninterest_expense,total_noninterest_expense,special_charges
55,3,2005,19680.016,8884.157,10795.859,54.857,4921.78,1696.753,0.0,6618.533,4177.326,21.226,0.0,0.0,0.0,-51.726,4125.6,-949.764,23.02,60.015,3235.851,3175.836,60.015,0.0,3235.851,16.442,0.0,2.07,2.06,1570.611,4177.326,1288.7,5466.026,27.775,,,,,,
56,3,2006,22337.808,10641.111,11696.697,52.363,5496.123,1821.175,0.0,7317.298,4379.399,19.605,0.0,0.0,0.0,240.521,4619.92,-1247.855,27.01,0.0,3372.065,3372.065,0.0,0.0,3372.065,15.096,0.0,2.17,2.16,1564.103,4379.399,1358.939,5738.338,25.689,,,,,,
57,3,2007,22476.322,9815.147,12661.175,56.331,6349.685,2255.271,0.0,8604.956,4056.219,18.047,0.0,0.0,0.0,-1779.849,2276.37,-559.615,24.58,0.0,1716.755,1716.755,0.0,0.0,1716.755,7.638,0.0,1.12,1.12,1536.724,4056.219,1558.75,5614.969,24.982,,,,,,
58,3,2008,25914.238,11422.046,14492.192,55.924,7407.998,2505.649,0.0,9913.647,4578.545,17.668,0.0,0.0,0.0,-108.897,4469.648,-863.334,19.32,0.0,3606.314,3606.314,0.0,0.0,3606.314,13.916,0.0,2.34,2.31,1560.057,4578.545,1854.886,6433.431,24.826,,,,,,
59,3,2009,29527.552,12612.022,16915.53,57.287,8435.624,2688.811,0.0,11124.435,5791.095,19.613,201.229,-528.474,-327.245,392.436,5856.286,-1122.07,19.16,146.503,4880.719,4734.216,146.503,0.0,4880.719,16.529,0.0,3.16,3.12,1564.333,6384.76,1838.829,8223.589,27.851,,,,,,
60,3,2010,30764.707,13209.329,17555.378,57.063,8405.904,2913.733,0.0,11319.637,6235.741,20.269,137.779,-519.656,-381.877,1339.91,7193.774,-1447.936,20.13,0.0,5745.838,5745.838,0.0,0.0,5745.838,18.677,0.0,3.71,3.69,1555.126,7713.43,2089.51,9802.94,31.864,,,,,,
61,3,2011,35166.721,14665.192,20501.529,58.298,10376.324,3724.424,0.0,14100.748,6400.781,18.201,105.453,-553.135,-447.682,-240.265,5712.834,-1086.662,19.02,0.0,4626.172,4626.172,0.0,0.0,4626.172,13.155,0.0,2.98,2.96,1556.022,6265.969,2624.305,8890.274,25.28,,,,,,
62,3,2012,21407.0,10017.0,11390.0,53.207,7365.0,1512.0,884.0,9761.0,1629.0,7.61,65.0,-359.0,-294.0,-99.0,1236.0,-110.0,8.9,3602.0,4728.0,1126.0,3602.0,0.0,4728.0,22.086,0.0,3.03,3.01,1567.0,1595.0,3044.0,4639.0,21.671,,,,,,
63,3,2013,19050.0,8899.0,10151.0,53.286,6735.0,1461.0,595.0,8791.0,1360.0,7.139,59.0,-320.0,-261.0,-1319.0,-220.0,457.0,207.73,5726.0,5963.0,237.0,5726.0,0.0,5963.0,31.302,0.0,3.76,3.72,1592.0,100.0,2782.0,2882.0,15.129,,,,,,
64,3,2014,19657.0,9193.0,10464.0,53.233,6372.0,1371.0,588.0,8331.0,2133.0,10.851,67.0,-145.0,-78.0,-14.0,2041.0,-53.0,2.6,588.0,2576.0,1988.0,588.0,0.0,2576.0,13.105,0.0,1.64,1.62,1574.0,2186.0,1719.0,3905.0,19.866,,,,,,
65,3,2015,20247.0,9218.0,11029.0,54.472,6530.0,1345.0,555.0,8430.0,2599.0,12.837,77.0,-150.0,-73.0,-8.0,2518.0,-797.0,31.65,563.0,2284.0,1721.0,563.0,0.0,2284.0,11.281,0.0,1.5,1.49,1527.0,2668.0,1548.0,4216.0,20.823,,,,,,
66,3,2016,20405.0,8747.0,11658.0,57.133,6785.0,1405.0,601.0,8791.0,2867.0,14.051,105.0,-163.0,-58.0,374.0,3183.0,-577.0,18.13,1817.0,4423.0,2606.0,1817.0,0.0,4423.0,21.676,0.0,2.94,2.92,1506.0,3346.0,1472.0,4818.0,23.612,,,,,,
67,3,2017,20853.0,9094.0,11759.0,56.39,6736.0,1447.0,550.0,8733.0,3026.0,14.511,99.0,-431.0,-332.0,-1281.0,1413.0,-350.0,24.77,337.0,1400.0,1063.0,337.0,0.0,1400.0,6.714,0.0,0.94,0.94,1483.0,1844.0,1353.0,3197.0,15.331,,,,,,
68,3,2018,27390.0,12409.0,14981.0,54.695,9182.0,2260.0,1975.0,13417.0,1564.0,5.71,124.0,-904.0,-780.0,1447.0,2231.0,-1878.0,84.18,124.0,477.0,353.0,124.0,0.0,477.0,1.742,0.0,0.27,0.27,1749.0,3135.0,3021.0,6156.0,22.475,,,,,,
69,3,2019,30578.0,12706.0,17872.0,58.447,9744.0,2300.0,2178.0,14222.0,3650.0,11.937,105.0,-826.0,-721.0,-56.0,2873.0,-539.0,18.76,34.0,2368.0,2334.0,34.0,0.0,2368.0,7.744,0.0,1.34,1.33,1770.0,3699.0,3278.0,6977.0,22.817,,,,,,
70,3,2020,31904.0,13231.0,18673.0,58.529,9765.0,2440.0,1936.0,14141.0,4532.0,14.205,94.0,-670.0,-576.0,121.0,4077.0,-390.0,9.57,0.0,3687.0,3687.0,0.0,0.0,3687.0,11.557,0.0,2.07,2.06,1781.0,4747.0,3014.0,7761.0,24.326,,,,,,
71,3,2021,34608.0,15003.0,19605.0,56.649,9696.0,2420.0,2132.0,14248.0,5357.0,15.479,46.0,-546.0,-500.0,111.0,4968.0,-497.0,10.0,24.0,4495.0,4471.0,24.0,0.0,4495.0,12.988,0.0,2.52,2.5,1786.0,5514.0,3327.0,8841.0,25.546,,,,,,
72,3,2022,43075.0,18537.0,24538.0,56.966,11324.0,2742.0,2047.0,16113.0,8425.0,19.559,43.0,-533.0,-490.0,276.0,8211.0,-1140.0,13.88,0.0,7071.0,7071.0,0.0,0.0,7071.0,16.416,0.0,3.97,3.94,1789.0,8744.0,3538.0,12282.0,28.513,,,,,,
73,3,2023,43653.0,19142.0,24511.0,56.15,11248.0,2888.0,2013.0,16149.0,8362.0,19.156,183.0,-558.0,-375.0,319.0,8306.0,-1373.0,16.53,0.0,6933.0,6933.0,0.0,0.0,6933.0,15.882,0.0,3.94,3.91,1764.0,8864.0,3267.0,12131.0,27.79,,,,,,
74,4,2001,13061.872,7817.365,5244.507,40.151,2733.026,0.0,967.11,3700.136,1544.371,11.824,0.0,0.0,0.0,-749.514,794.857,-502.616,63.23,187.974,480.215,869.429,0.0,577.188,1057.403,8.095,0.0,1.132,1.132,934.469,1544.371,414.072,1958.443,14.994,,,,,,
75,4,2002,13105.024,8427.73,4677.294,35.691,3181.319,0.0,0.0,3181.319,1495.975,11.415,46.185,-48.864,-2.679,-425.738,1067.558,-491.071,46.0,0.0,576.487,576.487,0.0,-331.592,244.895,1.869,0.0,0.57,0.56,1023.79,1116.422,285.361,1401.783,10.697,,,,,,
76,4,2003,13397.24,9087.3,4309.94,32.17,2778.051,0.0,0.0,2778.051,1531.889,11.434,41.13,-21.016,20.114,60.814,1612.817,-566.099,35.1,0.0,1046.718,1046.718,0.0,-548.48,498.238,3.719,0.0,1.06,1.05,996.755,1633.833,237.205,1871.038,13.966,,,,,,
